258,38241268
259,53884884
260,31296192
261,43684064
262,30603172
263,30933312
264,35268900
265,32075340
266,57820812
267,52868040
268,34636908
269,37429528
270,40545372
271,41740056
272,40148040
273,39806728
274,32218308
275,31951132
276,45859492
277,39630020
278,45104396
279,46913892
280,42101652
281,46436804
282,32913996
283,44356524
284,38760680
285,37192500
286,38413632
287,49236792
288,31825924
289,46298908
290,45424048
291,54351588
292,41953680
293,55401608
294,53447100
295,53876140
296,50862948
297,62797856
298,40004636
299,52297864
300,43605260
301,45846536
302,40393212
